A,B,C,D,E,F
17,96.27,12,60.21,6.09227,15.8709
14,87.08,20,76.21,53.1959,57.0456
5,60.45,6,48.08,-13.6147,-25.6055
21,108.4,17,70.21,-26.3135,-86.0674
26,123.13,8,52.17,46.1406,13.2306
29,132.3,30,96.52,48.2963,12.9409
26,123,12,60.56,78.5672,8.25774
31,138.35,4,44.48,2.44042,5.48127
21,108.22,31,98.27,47.732,34.6793
36,153.37,11,58.34,-11.1432,-6.69549
21,108.04,38,111.99,-62.5352,-29.1606
26,123.33,3,42.45,-29.1305,-10.6026
0,45.1,33,102.5,-73.7184,-6.44952
11,78.35,27,90.02,9.82983,6.88291
38,159.36,22,80.33,52.1301,25.4255
14,86.97,2,40.44,-17.3205,-9.99999
19,102.53,17,70.47,-22.6441,-14.7052
1,48.02,27,90.42,75.8243,33.7591
38,159.02,9,54.45,-10.5954,-5.63365
6,63.4,14,64.38,-19.8597,-57.6766
34,147.45,13,62.19,52.5139,56.3142
36,153.36,36,108.49,48.0343,22.3988
4,57.55,24,84.08,11.8903,10.7061
34,147.05,10,56.4,22.4059,8.60082
38,159.38,27,90.22,-14.2148,-43.7486
15,89.99,25,86.3,-6.72457,-21.995
34,147.42,18,72.33,84.0462,37.4197
4,57.53,12,60.48,23.9805,83.6297
10,75.34,8,52.37,-13.8564,-7.99999
29,132.16,19,74.12,55.3523,35.9462
7,66.23,14,63.97,-59.6974,-30.4173
13,84.54,15,66.41,-35.6497,-5.01023
0,45.17,33,102.45,50.1069,77.1577
1,48.5,38,112.49,38.5767,79.0938
29,132.4,35,105.98,-3.10859,-2.51728
15,90.1,25,86.45,-70.7298,-6.18805
27,126.03,29,94.21,61.6735,76.1603
16,93.35,20,76.26,46.3398,61.4949
2,51.03,35,106.42,-56.3816,-20.5212
11,78.26,21,78.53,60.9505,78.013
21,107.99,39,114.43,32.1203,45.8725
35,150.31,31,98.12,-34.1542,-16.6581
25,120.37,1,38.48,6.91382,1.09504
35,150.3,0,36.25,8.89919,6.46563
8,69.21,23,82.44,-6.58219,-6.13798
16,93.1,17,70.06,0.857168,0.515038
31,138.47,17,70.03,0.945519,0.325568
31,138.46,22,80.3,23.8211,2.92486
39,162.25,31,98.42,-36.6389,-43.6645
32,141.13,14,64.56,-67.9517,-11.9817
33,144.09,30,96.2,-43.2259,-15.7329
2,51.44,20,76.22,35.3912,63.8472
5,60.37,0,36.19,-53.7945,-4.70641
16,93.5,14,64.24,-36.0527,-60.0017
3,54.13,11,58.35,67.9517,11.9817
35,150.07,37,110.37,12.4964,3.58328
10,75.46,12,60.17,-16.249,-21.5631
17,96.14,6,48.37,81.3397,45.0873
0,45.36,37,110.15,11.4374,17.6121
