A,B,C,D
1,18,-15.97,211.08
2,35,-13.87,432.31
3,25,-11.63,302.25
4,39,-9.64,483.99
5,16,-7.9,185.33
6,37,-5.65,458.01
7,18,-3.89,211.17
8,22,-1.86,263.04
9,11,0.27,120.35
10,5,2.36,42.25
11,19,4.24,224.35
12,15,6.26,172.01
13,11,7.99,120
14,28,10.21,341.12
15,9,12.04,94.12
16,30,14.22,367.36
17,32,16.17,393.3
18,23,18.16,276.18
19,11,20.16,120.34
20,12,22.24,133.35
21,12,24.19,132.98
22,17,26.09,198.22
23,2,28.07,3.12
24,1,30.09,-9.94
25,32,32.12,393
26,34,34.04,419.31
27,15,36.36,172.33
28,23,38.29,276.24
29,20,40.37,237.26
30,8,42.37,81.13
31,24,44.14,289.14
32,11,46.17,120.35
33,20,48.14,237.09
34,4,50,28.99
35,36,52.16,445.12
36,39,54.15,484.04
37,0,56.28,-22.93
38,39,58.34,484.27
39,21,60.13,250.17
40,22,62.06,262.98
41,34,64.29,419.14
42,30,66.16,367.14
43,21,68.11,250.06
44,39,70.14,484.1
45,5,72.22,42.12
46,27,74.31,328.22
47,28,76.31,341.34
48,20,78.27,236.99
49,21,80.28,250.08
50,29,82.28,354.14
51,26,84.33,315.13
52,28,86.24,341.21
53,26,88.17,315.36
54,10,90.21,107.02
55,32,92.08,393.31
56,7,93.98,68.24
57,9,96.09,94.12
58,3,98.24,16.11
59,28,100.08,341.02
60,2,102.37,3.34
61,13,104.04,146.13
62,32,106.02,393.12
63,5,108.26,42.3
64,27,110.11,328.01
65,25,112.22,302.1
66,29,114.11,354.05
67,36,116.21,445.28
68,6,118.35,55.18
69,26,120.29,315.2
70,28,122.09,341.14
71,28,124.35,341.13
72,1,126,-9.95
73,27,128.1,328.16
74,20,130.02,237
75,19,131.98,224.04
76,11,134.26,120.27
77,33,136.27,406.13
78,26,138.3,315.32
79,33,140.27,406.34
80,11,142.32,120.28
81,33,144,406.06
82,39,146.04,484.12
83,25,148.31,302.25
84,24,150.22,289.3
85,6,152.12,55.13
86,33,154.13,406.35
87,39,156.17,484.03
88,12,158.26,133.02
89,15,160.37,172.02
90,29,162.22,354.07
91,0,164.15,-22.65
92,38,166.1,471
93,25,168.06,302.34
94,13,170.01,146.22
95,32,172.12,393.04
96,23,174.08,276.13
97,10,176.04,107.03
98,5,177.99,42.01
99,24,180.34,289.34
100,4,182.01,29.11
